用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈1,注釈2
主張,しゅちょう,1,claim,権利の主張,,,,,【動詞】主張する: claim
主張,しゅちょう,2,assertion,事実などの主張,不利益処分の原因となる事実に対する当事者等の主張,"assertion of the parties, etc. concerning the facts which will be the cause of the anticipated Adverse Disposition",行政手続法第24条第3項,,
主張,しゅちょう,2,assertion,事実などの主張,,,,,【動詞】主張する: assert
主張,しゅちょう,3,allegation,事実などの主張,証拠により証明すべき事実その他の事実上及び法律上の主張,facts to be proved by evidence or any other factual or legal allegations,刑事訴訟法第316条の30,,
主張,しゅちょう,3,allegation,事実などの主張,,,,,【動詞】主張する: allege
主張,しゅちょう,4,argument,,当事者の主張,argument by a party,裁判所法第10条第1号,,
主張,しゅちょう,4,argument,,,,,,【動詞】主張する: argue
出願,しゅつがん,,application,,,,,,"【動詞】出願する: apply, file an application for …"
出願公開,しゅつがんこうかい,,publication of an application,,特許の出願公開,publication of a patent application,,,
出願公開,しゅつがんこうかい,,publication of an application,,,,,,【動詞】出願公開する：publish an application
出願公表,しゅつがんこうひょう,,publication of application,,,,,,
出願者,しゅつがんしゃ,,applicant,,,,,,
出願審査,しゅつがんしんさ,,examination of applications,見出しの場合,,,,,
出願人,しゅつがんにん,,applicant,,,,,,
出願品種,しゅつがんひんしゅ,,applied plant variety,,,,,,
出願料,しゅつがんりょう,,application fee,,,,,,
出向,しゅっこう,,secondment,,,,,,
出国禁止命令,しゅっこくきんしめいれい,,writ of ne exeat,,,,,,
出資,しゅっし,1,equity interest,,株式又は出資に係る議決権,voting rights attached to shares or an equity interest,企業内容等の開示に関する内閣府令,,
出資,しゅっし,2,contribution,,,,,,【動詞】出資する: contribute
出資,しゅっし,2,contribution,,,,,【注】「出資する」という動詞の場合はcontribute,
出資者,しゅっししゃ,1,equity investor,,,,,,
出資者,しゅっししゃ,2,capital investor,,,,,,
出資証券,しゅっししょうけん,,investment securities,,,,,,
出資の払戻し,しゅっしのはらいもどし,,return of contribution,,,,,,
出水,しゅっすい,,flood,,,,,,【動詞】出水させる: cause a flood
出訴期間,しゅつそきかん,,statute of limitations for filing an action,,,,,,
出頭,しゅっとう,1,appearance,裁判所への出頭,,,,,【動詞】出頭する: appear
出頭,しゅっとう,2,attendance,委員会等への出頭,,,,,【動詞】出頭する: attend
出入国管理,しゅつにゅうこくかんり,,immigration control,,,,,,
出入国港,しゅつにゅうこくこう,,port of entry or departure,,,,,,
出版権,しゅっぱんけん,1,publication right,,,,,,
出版権,しゅっぱんけん,2,publishing right,,,,,,
出品,しゅっぴん,,display,,,,,,【動詞】出品する: display
主登記,しゅとうき,,principal registration,,,,,【注】付記登記: supplemental registration,
取得時効,しゅとくじこう,,acquisitive prescription,,,,,,
取得条項付株式,しゅとくじょうこうつきかぶしき,,share subject to call,,,,,,
取得条項付新株予約権,しゅとくじょうこうつきしんかぶよやくけん,,share option subject to call,,,,,,
取得請求権付株式,しゅとくせいきゅうけんつきかぶしき,,share with put option,,,,,,
受任者,じゅにんしゃ,1,mandatary,民法上の委任契約の場合,,,,,
受任者,じゅにんしゃ,2,delegatee,権限の委任という意味の場合,,,,,
主任審査官,しゅにんしんさかん,,supervising immigration inspector,,,,,,
主任弁護人,しゅにんべんごにん,,chief defense counsel,,,,,,
種苗,しゅびょう,,seeds and seedlings,,,,,,
種苗管理センター,しゅびょうかんりせんたー,,national center for seeds and seedlings,,,,,,
種苗業者,しゅびょうぎょうしゃ,,seed and seedling dealer,,,,,,
主物,しゅぶつ,,principal,,,,,,
主文,しゅぶん,,main text of judgment,裁判の判決文における場合,,,,,
主務官庁,しゅむかんちょう,,competent government agency,,法人の業務は、主務官庁の監督に属する,The business of a juridical person is subject to the supervision of the competent government agency,民法第67条第1項,,
主務省,しゅむしょう,,competent ministry,,,,,,
主務大臣,しゅむだいじん,,competent minister,,,,,,
受命裁判官,じゅめいさいばんかん,,authorized judge,,,,,,
受命職員,じゅめいしょくいん,,commissioned officer,,,,,,
主要株主,しゅようかぶぬし,,major shareholder,,,,,,
需要者,じゅようしゃ,1,customer,,,,,,
需要者,じゅようしゃ,2,user,,,,,,
受理,じゅり,1,acceptance,原則,,,,,【動詞】受理する: accept
受理,じゅり,2,receipt,書面の受理,,,,,【動詞】受理する: receive
受領,じゅりょう,,receipt,,,,,,【動詞】受領する: receive
受領遅滞,じゅりょうちたい,,obligee's delay in acceptance,,,,,,
受領能力,じゅりょうのうりょく,,capacity to accept/receive,,,,,,
種類株式,しゅるいかぶしき,,class share,,,,,,
種類株式発行会社,しゅるいかぶしきはっこうがいしゃ,,company with class shares,,,,,,
種類株主,しゅるいかぶぬし,,class shareholder,,,,,,
種類株主総会,しゅるいかぶぬしそうかい,,general meeting of class shareholders,,,,,,
種類債権,しゅるいさいけん,,fungible claim,,,,,【注】（出典）民法401条見出し,
種類創立総会,しゅるいそうりつそうかい,,organizational meeting of class shareholders,,,,,,
種類の株式,しゅるいのかぶしき,1,a class of shares,,,,,,
種類の株式,しゅるいのかぶしき,2,shares of a class,,株式会社は、次に掲げる事項について異なる定めをした内容の異なる二以上の種類の株式を発行することができる。ただし、委員会設置会社及び公開会社は、第九号に掲げる事項についての定めがある種類の株式を発行することができない。,"A stock company may issue two or more classes of shares with different features which have different provisions on the following matters; provided, however, that a company with committees and a public company may not issue shares of a class that has provisions in relation to the matters stated in item (ix):",会社法第108条第1項柱書,,
順位,じゅんい,1,order,原則,,,,,
順位,じゅんい,2,rank,序列,,,,,
準委任,じゅんいにん,,quasi-mandate,,,,,,
循環型社会,じゅんかんがたしゃかい,,recycling society,,,,,,
循環資源,じゅんかんしげん,,circulative resources,,,,,,
準共有,じゅんきょうゆう,,quasi-co-ownership,,,,,,
準拠法,じゅんきょほう,1,applicable law,,,,,,
準拠法,じゅんきょほう,2,governing law,,,,,,
純資産額,じゅんしさんがく,,amount of net assets,,,,,,
遵守,じゅんしゅ,1,observance,,,,,,【動詞】遵守する: observe
遵守,じゅんしゅ,2,compliance,,,,,,【動詞】遵守する: comply
遵守義務,じゅんしゅぎむ,1,observance obligation,,,,,,
遵守義務,じゅんしゅぎむ,2,compliance obligation,,,,,,
遵守事項,じゅんしゅじこう,1,rule to be observed,,,,,,
遵守事項,じゅんしゅじこう,2,condition(s),更生保護法の場合,,,,,
準消費貸借,じゅんしょうひたいしゃく,,quasi-loan (for consumption),,,,,,
準正,じゅんせい,,legitimation,,,,,【注】（出典）民法789条見出し,
準占有,じゅんせんゆう,,quasi-possession,,,,,,
準則,じゅんそく,,rules,,,,,,
純損失,じゅんそんしつ,,net loss,会計勘定科目,,,,【注】英文の前後関係から「当期」であることが不明確な場合はnet loss for the periodとする。,
準備金,じゅんびきん,1,reserve,,,,,,
準備金,じゅんびきん,2,reserve fund,,,,,,
準備書,じゅんびしょ,,preparation document,,,,,,
準備書面,じゅんびしょめん,,brief,,,,,,
準備的口頭弁論,じゅんびてきこうとうべんろん,,preliminary oral arguments,,,,,,
準備手続,じゅんびてつづき,,preparatory proceedings,,,,,,
準別除権,じゅんべつじょけん,,quasi-right of separate satisfaction,,,,,【注】別除権: right of separate satisfaction（後記「別除権」参照）,
準別除権者,じゅんべつじょけんしゃ,,holder of a quasi-right of separate satisfaction,,,,,【注】別除権者: holder of a right of separate satisfaction（後記「別除権者」参照）,
準用する,じゅんようする,,apply mutatis mutandis,,,,,"【注】法令上の見出しとして使用される場合はapplication, mutatis mutandis。「…の規定は、…について準用する」の項目参照。",
使用,しよう,1,use,原則,,,,,【動詞】使用する: use
使用,しよう,2,employment,雇用関係の場合,,,,,【動詞】使用する: employ
章,しょう,,Chapter,,第１章,Chapter 1,,,
条,じょう,1,Article,,第１条,Article 1,,,
条,じょう,1,Article,,第１条の２,Article 1-2,,,
条,じょう,2,Art.,,第１条,Art. 1,,,
条,じょう,2,Art.,,第１条の２,Art. 1-2,,,
証印,しょういん,,seal of verification,,,,,,
乗員,じょういん,,crew member,,,,,,
上映,じょうえい,,screen presentation,,,,,,
承役地,しょうえきち,,servient land,,,,,,
上演,じょうえん,,stage performance,,,,,,
場屋,じょうおく,,establishment,,,,,,
傷害,しょうがい,1,injury,原則（傷害罪の場合はcriminal injury）,,,,,
傷害,しょうがい,2,bodily injury,身体を強調する場合,,,,,
障害,しょうがい,1,disability,身体の障害の場合,,,,【注】その他の訳語の場合は、文脈に応じて適宜のものを選択し得る。,
障害,しょうがい,2,impediment,不可抗力の場合,,,,,
障害基礎年金,しょうがいきそねんきん,,disability basic pension,,,,,,
障害給付,しょうがいきゅうふ,,disability benefit,,,,,,
照会事項,しょうかいじこう,,matters inquired into,,,,,,
障害者,しょうがいしゃ,1,person with disabilities,,,,,,
障害者,しょうがいしゃ,2,disabled person,,,,,,
障害者計画,しょうがいしゃけいかく,,government program for persons with disabilities,,,,,,
照会書,しょうかいしょ,,written inquiry,,,,,,
照会する,しょうかいする,1,contact … for confirmation,,,,,,
照会する,しょうかいする,2,inquire,,,,,,【名詞】照会: inquiry
障害手当金,しょうがいてあてきん,,disability allowance,,,,,,
障害年金,しょうがいねんきん,,disability pension,,,,,,
障害年金差額一時金,しょうがいねんきんさがくいちじきん,,disability pension balance lump sum payment,,,,,,
傷害保険,しょうがいほけん,,accident insurance,,,,,,
障害補償一時金,しょうがいほしょういちじきん,,disability compensation lump sum payment,,,,,,
障害補償給付,しょうがいほしょうきゅうふ,,disability compensation benefit,,,,,,
障害補償年金,しょうがいほしょうねんきん,,disability compensation pension,,,,,,
障害補償年金差額一時金,しょうがいほしょうねんきんさがくいちじきん,,disability compensation pension balance lump sum payment,,,,,,
障害補償年金前払一時金,しょうがいほしょうねんきんまえばらいいちじきん,,disability compensation pension advance lump sum payment,,,,,,
少額訴訟,しょうがくそしょう,,small claims action,,,,,,
償還,しょうかん,1,reimbursement,費用等の場合,連帯債務者の中に償還をする資力のない者があるときは、…,"If there is any person among the joint and several obligors who does not have the sufficient financial resources to make the reimbursement,…",民法第444条,,
償還,しょうかん,1,reimbursement,費用等の場合,,,,,【動詞】償還する: reimburse
償還,しょうかん,2,redemption,株式・社債等の場合,募集社債の償還の方法及び期限,The method and due date for the redemption of the Bonds for subscription,会社法第676条,,
償還,しょうかん,2,redemption,株式・社債等の場合,,,,,【動詞】償還する: redeem
召喚,しょうかん,,summons,,,,,,【動詞】召喚する: summon
商慣習,しょうかんしゅう,,commercial custom,,,,,,
召喚状,しょうかんじょう,,writ of summons,,,,,,
小規模個人再生,しょうきぼこじんさいせい,,rehabilitation for individuals with small-scale debts,,,,,,
小規模事業者,しょうきぼじぎょうしゃ,,small enterprise,,,,,,
償却,しょうきゃく,,depreciation,,基金の償却の方法,method of returning funds,保険業法第23条第1項第6号,,
償却,しょうきゃく,,depreciation,,,,,"【注】相互会社における「基金の償却」を意味する場合には、""return""を用いる。",
焼却,しょうきゃく,,incineration,,,,,,
消却,しょうきゃく,,cancellation,株式、新株予約権,株式会社は自己株式を消却することができる,A stock company may cancel its treasury shares,会社法第178条,,
上級行政庁,じょうきゅうぎょうせいちょう,,higher administrative authority,,,,,,
上級審,じょうきゅうしん,,upper instance court,,,,,,
上級の裁判所,じょうきゅうのさいばんしょ,,upper instance court,,,,,,
商業帳簿,しょうぎょうちょうぼ,,commercial books,,,,,,
商業登記,しょうぎょうとうき,,commercial registration,,,,,,
商業登記簿,しょうぎょうとうきぼ,,commercial register,,,,,,
商業用レコード,しょうぎょうようれこーど,,commercial phonorecord,,,,,,
常居所,じょうきょしょ,,habitual residence,,,,,,
償金,しょうきん,,compensation,,,,,,
承継,しょうけい,1,succession,原則,相続その他の一般承継,"general succession, including inheritance",会社法第134条第4号,,
承継,しょうけい,1,succession,原則,,,,,【動詞】承継する: succeed
承継,しょうけい,2,assumption,債務の承継,,,,,【動詞】承継する: assume
承継人,しょうけいにん,,successor,,,,,,
証券,しょうけん,1,securities,原則,,,,,
証券,しょうけん,2,instrument/document,「有価証券」との重複を避ける場合,有価証券となる証券又は証書,Instruments and Certificates Constituting Securities,金融商品取引法施行令第1章見出し,,
条件,じょうけん,,condition,,,,,,
証言拒絶,しょうげんきょぜつ,,refusal to testify,,,,,,
証言する,しょうげんする,,testify,,,,,,
条件附,じょうけんつき,,conditional,,,,,,
証券投資信託,しょうけんとうししんたく,,securities investment trust,,,,,,
証拠,しょうこ,,evidence,,,,,,
商号,しょうごう,,trade name,,,,,,
条項,じょうこう,1,clause,,,,,,
条項,じょうこう,2,provision,,,,,,
商行為,しょうこうい,,commercial act(s),,,,,,
商工会,しょうこうかい,,commercial and industrial association,,,,,,
商工会議所,しょうこうかいぎしょ,,chamber of commerce and industry,,,,,,
商工組合,しょうこうくみあい,,commercial and industrial partnerships,,,,,,
上告,じょうこく,,(final) appeal,,,,,,
上告裁判所,じょうこくさいばんしょ,,final appellate court,,,,,,
上告趣意書,じょうこくしゅいしょ,,(written) statement of reasons (for final appeal),,,,,,
上告受理,じょうこくじゅり,,acceptance of final appeal,,,,,,
上告受理の申立て,じょうこくじゅりのもうしたて,,petition for acceptance of final appeal,,,,,,
上告状,じょうこくじょう,,petition of final appeal,,,,,,
上告審,じょうこくしん,1,final appellate court,裁判体に重きを置く場合,,,,,
上告審,じょうこくしん,2,final appellate instance,審級を意味する場合,,,,,
上告提起,じょうこくていき,,filing of final appeal,,,,,,
上告人,じょうこくにん,,appellant (of final appeal),,,,,,
上告理由,じょうこくりゆう,,reasons for final appeal,,,,,,
上告理由書,じょうこくりゆうしょ,,(written) statement of reasons for final appeal,,,,,,
証拠収集,しょうこしゅうしゅう,,collection of evidence,,,,,,
証拠書類,しょうこしょるい,,documentary evidence,,,,,,
証拠調べ,しょうこしらべ,,examination of evidence,,,,,,
証拠説明書,しょうこせつめいしょ,,description of evidence,,,,,,
証拠の申出,しょうこのもうしで,,offer of evidence,,,,,,
証拠の類型,しょうこのるいけい,,category of evidence,,,,,,
証拠物,しょうこぶつ,,article of evidence,,,,,,
証拠保全,しょうこほぜん,,preservation of evidence,,,,,,
商事会社,しょうじかいしゃ,,commercial company,,,,,,
省資源化,しょうしげんか,,resource saving,,,,,,
常時使用する従業員,じょうじしようするじゅうぎょういん,,regularly hired employee,,,,,,
使用者,しようしゃ,1,employer,雇用の場合,常時十人以上の労働者を使用する使用者,An employer who continuously employs 10 or more workers,労働基準法第89条,,
使用者,しようしゃ,2,user,雇用以外の場合,,,,,
招集,しょうしゅう,1,calling,,,,,,
招集,しょうしゅう,2,convocation,,,,,,
常習,じょうしゅう,,habit,,,,,,【形容詞】常習の: habitual
招集通知,しょうしゅうつうち,1,notice of calling,,,,,,
招集通知,しょうしゅうつうち,2,convocation notice,,,,,,
譲受者,じょうじゅしゃ,1,transferee,原則,,,,,
譲受者,じょうじゅしゃ,2,assignee,財産権一般の譲受,,,,【注】「譲受人」と同じ。,
証書,しょうしょ,1,certificate,証明書,,,,,
証書,しょうしょ,2,instrument,契約書など法律的効果を伴う文書,,,,,
情状,じょうじょう,,circumstances,,,,,,
上場,じょうじょう,,listed,,,,,,
上場会社,じょうじょうがいしゃ,,listed company,,,,,,
上場株券,じょうじょうかぶけん,,listed share certificate,,,,,,
上申,じょうしん,1,petition,嘆願・要望等,,,,,
上申,じょうしん,2,statement,陳述等,,,,,
上訴,じょうそ,,appeal,,,,,,
上訴権回復,じょうそけんかいふく,,restoration of appeal right,,,,,,
上訴裁判所,じょうそさいばんしょ,,appellate court,,,,,,
上訴審,じょうそしん,,appellate instance,,,,,,
焼損,しょうそん,,burn,,,,,,
使用貸借,しようたいしゃく,,loan for use,,,,,,
承諾,しょうだく,1,consent,,,,,,
承諾,しょうだく,2,acceptance,,,,,,
承諾,しょうだく,3,approval,,,,,,
譲渡,じょうと,1,transfer,原則,,,,,
譲渡,じょうと,2,assignment,財産権一般の譲渡,,,,,
譲渡,じょうと,3,negotiation,証券の譲渡,,,,,
譲渡会社,じょうとがいしゃ,,transferor company,,,,,,
譲渡権,じょうとけん,,right of transfer,,,,,,
譲渡者,じょうとしゃ,1,transferor,原則,,,,,
譲渡者,じょうとしゃ,2,assignor,財産権一般の譲渡,,,,【注】「譲渡人」と同じ。,
譲渡所得,じょうとしょとく,,capital gain,,,,,,
譲渡制限株式,じょうとせいげんかぶしき,,share with restriction on transfer,,,,,,
譲渡制限新株予約権,じょうとせいげんしんかぶよやくけん,,share option with restriction on transfer,,,,,,
譲渡性預金,じょうとせいよきん,,negotiable certificate of deposit,,,,,,
譲渡人,じょうとにん,1,transferor,原則,,,,,
譲渡人,じょうとにん,2,assignor,財産権一般の譲渡,,,,【注】「譲渡者」と同じ。,
使用人,しようにん,,employee,,,,,,
承認,しょうにん,1,approval,原則,承認の申請,application for approval,外国弁護士による法律事務の取扱い等に関する法律施行規則第4条,,
承認,しょうにん,1,approval,原則,,,,,【動詞】承認する: approve
承認,しょうにん,2,recognition,「認定」と並列的に用いる場合,,,,,
承認,しょうにん,3,acknowledgement,時効の承認,,,,,
承認,しょうにん,4,acceptance,相続や遺贈の承認の場合,,,,,
商人,しょうにん,,merchant,,,,,,
証人,しょうにん,,witness,,,,,,
承認援助手続,しょうにんえんじょてつづき,,recognition and assistance procedure,,,,,,
承認管財人,しょうにんかんざいにん,,recognized trustee,,,,,,
承認管財人代理,しょうにんかんざいにんだいり,,recognized deputy trustee,,,,,,
承認取得者,しょうにんしゅとくしゃ,,approved person,,,,,,
承認申請者,しょうにんしんせいしゃ,,applicant for approval,,,,,,
承認申請書,しょうにんしんせいしょ,,written application for approval,,,,,,
証人尋問,しょうにんじんもん,,examination of a witness,,,,,,
少年,しょうねん,,juvenile,,,,,,
少年院,しょうねんいん,,juvenile training school,,,,,,
少年鑑別所,しょうねんかんべつしょ,,juvenile classification home,,,,,,
消費寄託,しょうひきたく,,deposit of fungibles,,,,,,
消費者,しょうひしゃ,,consumer,,,,,,
消費者契約,しょうひしゃけいやく,,consumer contract,,,,,,
消費貸借,しょうひたいしゃく,,loan (for consumption),,,,,,
商標,しょうひょう,,trademark,,,,,,
証票,しょうひょう,,identification card,,,,,,
商標権,しょうひょうけん,,trademark right,,,,,,
商標権者,しょうひょうけんしゃ,,holder of trademark right,,,,,,
商標原簿,しょうひょうげんぼ,,trademark register,,,,,,
商標公報,しょうひょうこうほう,,trademark gazette,,,,,,
傷病手当,しょうびょうてあて,,injury and disease allowance,,,,,,
商標登録,しょうひょうとうろく,,trademark registration,,,,,,
商標登録出願,しょうひょうとうろくしゅつがん,,application for trademark registration,,,,,,
商標登録出願人,しょうひょうとうろくしゅつがんにん,,applicant for trademark registration,,,,,,
商標登録証,しょうひょうとうろくしょう,,certificate of trademark registration,,,,,,
商標登録表示,しょうひょうとうろくひょうじ,,indication of trademark registration,,,,,,
傷病年金,しょうびょうねんきん,,injury and disease pension,,,,,,
傷病補償年金,しょうびょうほしょうねんきん,,injury and disease compensation pension,,,,,,
商品,しょうひん,1,goods,,,,,,
商品,しょうひん,2,commodity,,,,,,
商品,しょうひん,3,merchandise,会計勘定科目,,,,,
商品先物取引,しょうひんさきものとりひき,,commodity futures transaction,,,,,,
商品先物取引業,しょうひんさきものとりひきぎょう,,commodity derivatives business,,,,,【注】商品先物取引業の場合は、その取扱の対象は、商品先物取引所の取引以外にも店頭デリバティブ取引等を含むのでcommodity futuresより広い概念であるcommodity derivative を使う。,
商品先物取引業者,しょうひんさきものとりひきぎょうしゃ,,commodity derivatives broker,,,,,,
商品先物取引法,しょうひんさきものとりひきほう,,Commodity Derivatives Transaction Act,,,,,【注】原則として「商品先物取引」は、商品先物取引所での先物取引をいうので、先物以外のデリバティブ取引を含まない。しかし、商品先物取引法の対象は、商品先物取引所での先物取引の他、デリバティブ取引を含むので、法令名はCommodity Derivatives Transaction Actとした方が正確となる。,
商品投資顧問業,しょうひんとうしこもんぎょう,,commodity investment management,,,,,,
商品投資顧問契約,しょうひんとうしこもんけいやく,,commodity investment management contract,,,,,,
商品取引所,しょうひんとりひきじょ,,commodity exchange,,,,,,
私用文書,しようぶんしょ,,document for private use,,,,,,
消防,しょうぼう,,fire fighting,,,,,,
情報公開,じょうほうこうかい,1,access to information,,,,,,
情報公開,じょうほうこうかい,2,disclosure of information,,,,,,
情報処理,じょうほうしょり,,information processing,,,,,,
情報通信,じょうほうつうしん,,information and communications,,,,,,
情報通信技術,じょうほうつうしんぎじゅつ,,information and communications technology,,,,,,
小法廷,しょうほうてい,,petty bench,,,,,,
情報の提供,じょうほうのていきょう,,provision of information,,,,,,
抄本,しょうほん,1,extract,,,,,,
抄本,しょうほん,2,(abridged) copy,,,,,,
証明,しょうめい,1,certification,公的機関による証明等,権利、義務若しくは事実証明に関する文書,"document or drawing relating to rights, duties or certification of facts",刑法第159条,,
証明,しょうめい,1,certification,公的機関による証明等,,,,,【動詞】証明する: certify
証明,しょうめい,2,proof,資料を提出して証明するような場合,犯罪の証明,proof of the offense,刑事訴訟法第227条,,
証明,しょうめい,2,proof,資料を提出して証明するような場合,,,,,【動詞】証明する: prove
証明書,しょうめいしょ,,certificate,,登録証明書,registration certificate,外国人登録法第5条,,
証明予定事実,しょうめいよていじじつ,,facts to be proved,,,,,,
証明力,しょうめいりょく,1,probative value (of evidence),,,,,,
証明力,しょうめいりょく,2,evidentiary value,,,,,,
消滅,しょうめつ,1,extinction,存在や権利等の消滅一般,債権の消滅,Extinction of Claims,民法第3編第1章第5節,,
消滅,しょうめつ,2,extinguishment,債務の弁済による消滅や契約の解除・取消による消滅,当該社債管理者の債権に係る債務について社債発行会社から担保の供与又は債務の消滅に関する行為を受けること,"Accepting, with respect to an obligation relating to a claim of the bond manager, the tender of a security or an act involving the extinguishment of the obligation from the bond-issuing Company.",会社法第710条第2項第1号,,
消滅会社,しょうめつがいしゃ,,disappearing company,,,,,,
消滅会社等,しょうめつがいしゃとう,,"disappearing company, etc.",,,,,,
消滅株式会社等,しょうめつかぶしきがいしゃとう,,"disappearing stock company, etc.",,,,,,
消滅時効,しょうめつじこう,,extinctive prescription,,,,,,
消滅する,しょうめつする,1,cease to exist,,,,,,
消滅する,しょうめつする,2,be extinguished,,,,,,
消滅する,しょうめつする,3,expire,期間満了による消滅等,法律行為に終期を付したときは、その法律行為の効力は、期限が到来した時に消滅する。,"If an end date is assigned to a juridical act, the validity of that juridical act expires when the assigned time arrives.",民法第135条第2項,,
消滅する,しょうめつする,4,lapse,条件不成就や権利の不行使による権利・特権の消滅・失効及び知的財産権の消滅,特許権は、民法第九百五十八条の期間内に相続人である権利を主張する者がないときは、消滅する。,A patent right lapses if no one claims a right as an heir within the period referred to in Article 958 of the Civil Code.,特許法第76条,,
条約,じょうやく,1,convention,,,,,,
条約,じょうやく,2,treaty,,,,,,
剰余金,じょうよきん,,surplus,,,,,,
剰余金の処分,じょうよきんのしょぶん,,appropriation of surplus,,,,,,
剰余金の配当,じょうよきんのはいとう,,dividend of surplus,,,,,,
将来の給付の訴え,しょうらいのきゅうふのうったえ,,action for future performance,,,,,,
将来の請求権,しょうらいのせいきゅうけん,,claim that may arise in the future,,,,,,
上陸,じょうりく,,landing,,上陸期間,period of landing,,,
使用料,しようりょう,,royalty,,,,,,
省令,しょうれい,,Ministerial Order,,内閣官房令,Cabinet Secretariat Order,,,
省令,しょうれい,,Ministerial Order,,復興庁令,Reconstruction Agency Order,,,
省令,しょうれい,,Ministerial Order,,総務省令,Order of the Ministry of Internal Affairs and Communications,,,
省令,しょうれい,,Ministerial Order,,法務省令,Ministry of Justice Order,,,
省令,しょうれい,,Ministerial Order,,外務省令,Ministry of Foreign Affairs Order,,,
省令,しょうれい,,Ministerial Order,,財務省令,Ministry of Finance Order,,,
省令,しょうれい,,Ministerial Order,,文部科学省令,"Order of the Ministry of Education, Culture, Sports, Science and Technology",,,
省令,しょうれい,,Ministerial Order,,厚生労働省令,"Order of the Ministry of Health, Labour and Welfare",,,
省令,しょうれい,,Ministerial Order,,農林水産省令,"Order of the Ministry of Agriculture, Forestry and Fisheries",,,
省令,しょうれい,,Ministerial Order,,経済産業省令,"Order of the Ministry of Economy, Trade and Industry",,,
省令,しょうれい,,Ministerial Order,,国土交通省令,"Order of the Ministry of Land, Infrastructure, Transport and Tourism",,,
省令,しょうれい,,Ministerial Order,,環境省令,Order of the Ministry of the Environment,,,
省令,しょうれい,,Ministerial Order,,防衛省令,Ministry of Defense Order,,,
条例,じょうれい,1,Prefectural Ordinance,都道府県条例,,,,,
条例,じょうれい,2,Municipal Ordinance,市町村条例,,,,,
情を知って,じょうをしって,,knowingly,,,,,,
所管,しょかん,,administrative jurisdiction,,,,,,
所管行政庁,しょかんぎょうせいちょう,,administrative authority with jurisdiction,,,,,,
書記官,しょきかん,,clerk,,,,,,
除去,じょきょ,,removal,,,,,,【動詞】除去する: remove
職員,しょくいん,1,employee,,,,,,
職員,しょくいん,2,personnel,,,,,【注】文脈に応じて適切な語句を選択する。,
職員団体,しょくいんだんたい,,employee organization,,,,,,
職業安定,しょくぎょうあんてい,,employment security,,,,,,
職業訓練,しょくぎょうくんれん,,vocational training,,高度職業訓練,high technology vocational training,職能開発法第20条,,
職業指導,しょくぎょうしどう,,vocational guidance,,,,,,
職業紹介,しょくぎょうしょうかい,,employment placement,,,,,,
職業能力,しょくぎょうのうりょく,,vocational ability,,,,,,
嘱託,しょくたく,1,temporary employee,嘱託員などの場合,,,,,
嘱託,しょくたく,2,commission,裁判の嘱託手続などの場合,,,,,【動詞】嘱託する: commission
食品安全委員会,しょくひんあんぜんいいんかい,,food safety commission,,,,,,
食品衛生,しょくひんえいせい,,food sanitation,,,,,,
食品循環資源,しょくひんじゅんかんしげん,,resources from wasted food,,,,,,
職務,しょくむ,1,duty,,,,,,
職務,しょくむ,2,practice,弁護士等の専門職の場合,法律事務を行うことを職務とする,to provide legal services as a practice,外国弁護士による法律事務の取扱い等に関する法律第3条第1項柱書,,
職務執行,しょくむしっこう,1,performance of duty,,…及び政令の定めるところによりその職務を行うために要する費用の弁償を受けるものとする,…also be reimbursed for necessary expenses incurred in performing their duties as specified by Cabinet Order,労働組合法第19条の8,,
職務執行,しょくむしっこう,1,performance of duty,,,,,,【動詞】職務を執行する: perform one's duty
職務執行,しょくむしっこう,2,execution of duty,,,,,,
職務上,しょくむじょう,1,in the course of duties,,,,,,
職務上,しょくむじょう,2,as a part of one's duties,,,,,,
職務発明,しょくむはつめい,,employee invention,,,,,,
職務を行う,しょくむをおこなう,,perform the/one's duty(duties),,,,,,
所在地,しょざいち,1,location,,,,,,
所在地,しょざいち,2,address,,,,,,
所在地,しょざいち,3,place,,訴えは、被告の普通裁判籍の所在地を管轄する裁判所の管轄に属する。,An action is subject to the jurisdiction of court of jurisdiction in the locality that constitutes the general venue for an action against the defendant.,民事訴訟法第4条第1項,,
所在地,しょざいち,3,place,,,,,【注】具体的な地点を示す所在場所と区別して所在地が最小行政区画の意味で使用されている場合は、localityが適切となる場合がある。,
助産師,じょさんし,,midwife,,,,,,
所持,しょじ,1,possession,,占有権は、占有者が占有の意思を放棄し、又は占有物の所持を失うことによって消滅する,"Possessory rights are extinguished when the possessor renounces the intention to possess, or loses possession of the possessed thing",民法第203条,,
所持,しょじ,1,possession,,,,,,【動詞】所持する: possess
所持,しょじ,2,direct control (over things),,代理人が占有物の所持を失ったこと,That the agent has lost the direct control over the possessed thing,民法第204条第1項第3号,,
所持者,しょじしゃ,,holder,,,,,,
所持人,しょじにん,1,possessor,原則,,,,,
所持人,しょじにん,2,holder,有価証券等の場合,,,,,
書証,しょしょう,1,examination of documentary evidence,証拠調べを意味する場合,,,,,
書証,しょしょう,2,documentary evidence,文書を意味する場合,,,,,
所掌事務,しょしょうじむ,,(administrative) function under the jurisdiction (of~),,,,,,
所掌する,しょしょうする,,have jurisdiction over,,,,,,
